ID,Field,Depth,BulkD,ECe,ECpw,ssatGWC,PasteGWC,ssatNa,ssatCa,ssatMg,ssatK,ssatAlk,ssatNO3,ssatS,ssatCl,PasteNa,PasteCa,PasteMg,PasteK,PasteAlk,PasteNO3,PasteS,PasteCl,SoilCa,SoilMg,SoilNa,SoilK,SoilNO3,SoilS,CEC,cecH,cecK,cecCa,cecMg,cecNa,Qs,Qr,alpha,n,m,soil_type,ssatVWC,PasteVWC,soilKmeqkg,soilCameqkg,soilMgmeqkg,soilNameqkg,soilKeqkg,soilCaeqkg,soilMgeqkg,soilNaeqkg,soilESP,soilESR,ssatKmeqL,ssatCameqL,ssatMgmeqL,ssatNameqL,ssatClmeqL,ssatSmeqL,ssatNO3meqL,ssatAlkmeqL,ssatKmolL,ssatCamolL,ssatMgmolL,ssatNamolL,ssatClmolL,ssatSmolL,ssatNO3molL,ssatAlkmolL,ssatIonicStrength,ssatPredictedEC,ssatSAR,ssatDBCa,ssatDBMg,ssatDBNa,ssatDBK,ssatGaponCaMg,ssatGaponCaNa,ssatGaponCaK,PasteKmeqL,PasteCameqL,PasteMgmeqL,PasteNameqL,PasteClmeqL,PasteSmeqL,PasteNO3meqL,PasteAlkmeqL,PasteKmolL,PasteCamolL,PasteMgmolL,PasteNamolL,PasteClmolL,PasteSmolL,PasteNO3molL,PasteAlkmolL,PasteIonicStrength,PastePredictedEC,PasteSAR,PasteDBCa,PasteDBMg,PasteDBNa,PasteDBK,PasteGaponCaMg,PasteGaponCaNa,PasteGaponCaK
1,DL1,30,0.997073401,1.51,2.13,0.31546996,0.741752157,112,340,85,10,272,0.3,263,133,111,192,44,7,151,2.7,193,58,6282,803,136,286,8,113,39.4,0,2,80,17,1,0.57,0.146,0.671,1.19,0.1625492,1,0.314546706,0.739581346,7.88,315.2,66.98,3.94,0.00788,0.3152,0.06698,0.00394,10,0.111111111,0.256,17,7.0805,4.86976,3.74661,5.47829,0.006249,4.45808,0.000256,0.0085,0.00354025,0.00486976,0.00374661,0.002739145,6.25E-06,0.00445808,0.03622714,2.852530669,1.40342693,0.429691112,0.43405444,0.808069631,0.806478764,0.327610276,5.209051868,0.136648618,0.1792,9.6,3.6652,4.82628,1.63386,4.02019,0.056241,2.47489,0.0001792,0.0048,0.0018326,0.00482628,0.00163386,0.002010095,5.62E-05,0.00247489,0.021870626,1.722096496,1.87400442,0.515988438,0.519205606,0.846535928,0.845519001,0.342843571,6.567609047,0.121781345
3,DL1,120,1.482359956,4.51,6.35,0.266608645,0.317235356,862,542,385,2,526,0.4,1252,196,578,449,217,5,70,0.6,944,87,6908,817,284,187,7.7,186,43.1,0,1,80,16,3,0.53,0.000206,0.0513,1.16,0.135695765,2,0.395209979,0.470256988,4.31,344.8,68.96,12.93,0.00431,0.3448,0.06896,0.01293,30,0.428571429,0.0512,27.1,32.0705,37.47976,5.52132,26.07916,0.008332,8.62114,5.12E-05,0.01355,0.01603525,0.03747976,0.00552132,0.01303958,8.33E-06,0.00862114,0.111090536,8.747286299,6.890633949,0.236953677,0.243953498,0.693758361,0.689718847,0.1811924,12.23692759,0.049857519,0.128,22.45,18.0761,25.13144,2.45079,19.66352,0.012498,1.1473,0.000128,0.011225,0.00903805,0.02513144,0.00245079,0.00983176,1.25E-05,0.0011473,0.074624634,5.875955433,5.582965779,0.303168996,0.309315133,0.739158063,0.736222526,0.22066203,8.491567336,0.129233019
4,DL2,30,1.156075139,0.93,1.96,0.279937571,0.676424656,104,281,75,6,446,14.5,209,57,85,132,34,5,232,0.3,97,46,6130,687,130,222,8.8,35.9,37.5,0,2,81,15,2,0.57,0.000342,0.139,1.18,0.151247666,3,0.323628866,0.781997728,7.5,303.75,56.25,7.5,0.0075,0.30375,0.05625,0.0075,20,0.25,0.1536,14.05,6.2475,4.52192,1.60569,4.35347,0.302035,7.30994,0.0001536,0.007025,0.00312375,0.00452192,0.00160569,0.002176735,0.000302035,0.00730994,0.031597563,2.487997047,1.419438555,0.453495676,0.457532155,0.819232674,0.817821483,0.27648211,2.658125146,0.090135322,0.128,6.6,2.8322,3.6958,1.29582,2.02051,0.006249,3.80248,0.000128,0.0033,0.0014161,0.0036958,0.00129582,0.001010255,6.25E-06,0.00380248,0.015916885,1.253297992,1.70183307,0.56731622,0.569913509,0.867119647,0.866357419,0.282048876,2.999666276,0.103798845
6,DL2,120,1.454203398,1.68,3.73,0.183265857,0.629106201,276,482,175,2,380,1.1,569,123,117,190,49,4,70,0.1,241,41,6326,726,138,232,9.9,80,38.9,0,2,80,16,2,0.58,9.56E-05,0.279,1.17,0.146757679,4,0.266505832,0.914848375,7.78,311.2,62.24,7.78,0.00778,0.3112,0.06224,0.00778,20,0.25,0.0512,24.1,14.5775,12.00048,3.46491,11.85227,0.022913,6.2282,5.12E-05,0.01205,0.00728875,0.01200048,0.00346491,0.005926135,2.29E-05,0.0062282,0.061413622,4.835718228,2.728879871,0.336935562,0.342609788,0.759432621,0.756934532,0.255017823,5.72111803,0.024328835,0.1024,9.5,4.0817,5.08716,1.15497,5.02003,0.002083,1.1473,0.0001024,0.00475,0.00204085,0.00508716,0.00115497,0.002510015,2.08E-06,0.0011473,0.022348687,1.759739094,1.952150644,0.512396444,0.515658922,0.845037469,0.844000572,0.304153657,3.485471181,0.070073342
7,DL3,30,1.269198251,2.23,3.88,0.285728118,0.768096055,273,617,187,10,232,18.2,696,195,172,326,82,10,151,0.3,391,67,6858,1064,496,284,6.6,206,46,0,2,74,19,5,0.51,0.00304,0.0535,1.13,0.117698959,5,0.362645628,0.97486617,9.2,340.4,87.4,23,0.0092,0.3404,0.0874,0.023,50,1,0.256,30.85,15.5771,11.87004,5.49315,14.49768,0.379106,3.80248,0.000256,0.015425,0.00778855,0.01187004,0.00549315,0.00724884,0.000379106,0.00380248,0.071825168,5.655525039,2.463663571,0.309745613,0.315800949,0.743237832,0.740393101,0.357850829,1.888976423,0.101458604,0.256,16.3,6.8306,7.47856,1.88739,8.14453,0.006249,2.47489,0.000256,0.00815,0.0034153,0.00747856,0.00188739,0.004072265,6.25E-06,0.00247489,0.037326675,2.939108228,2.199072416,0.424457786,0.428893817,0.805552121,0.803919256,0.394574137,1.515923505,0.129466696
8,DL3,60,1.570473419,5.67,8.56,0.22840773,0.62922872,1343,544,545,11,393,14.9,1693,412,742,535,298,13,111,0.7,1203,189,8141,1173,811,247,11.3,265,54.6,0,1,74,18,6,0.52,0.000711,0.0922,1.17,0.146174863,6,0.358708269,0.988186979,5.46,404.04,98.28,32.76,0.00546,0.40404,0.09828,0.03276,60,1.5,0.2816,27.2,45.3985,58.39364,11.60604,35.26519,0.310367,6.44127,0.0002816,0.0136,0.02269925,0.05839364,0.01160604,0.017632595,0.000310367,0.00644127,0.146380149,11.52599594,9.692074017,0.194397818,0.20183902,0.659152825,0.654158652,0.184776873,9.23245049,0.265113786,0.3328,26.75,24.8234,32.26216,5.32413,25.05849,0.014581,1.81929,0.0003328,0.013375,0.0124117,0.03226216,0.00532413,0.012529245,1.46E-05,0.00181929,0.096508371,7.599084291,6.353244319,0.259828536,0.26654966,0.710429141,0.706814815,0.249302367,4.795173865,0.295277505
9,DL3,120,1.440953253,5.5,10.04,0.290138549,0.630835919,1783,489,556,22,639,0,1955,407,739,501,278,10,70,7.7,1158,111,7059,1199,1244,255,0.4,515,51.3,0,1,69,19,11,0.458083447,0.000113,0.0134,1.14,0.121188154,7,0.418076086,0.90900507,5.13,353.97,97.47,56.43,0.00513,0.35397,0.09747,0.05643,110,-11,0.5632,24.45,46.3148,77.52484,11.46519,40.72265,0,10.47321,0.0005632,0.012225,0.0231574,0.07752484,0.01146519,0.020361325,0,0.01047321,0.16150067,12.71658819,13.03308521,0.180093297,0.187650749,0.646219968,0.64084451,0.196000721,6.697372415,0.530751459,0.256,25.05,23.1574,32.13172,3.12687,24.12114,0.160391,1.1473,0.000256,0.012525,0.0115787,0.03213172,0.00312687,0.01206057,0.000160391,0.0011473,0.090739681,7.144856732,6.544735764,0.270053506,0.276643578,0.717519657,0.714079238,0.282961983,2.486625629,0.216881089
